caseid,totalnewsbinary,totalnewscount,totalnewsfncount2016def,totalvisits,totalProTrumpFNbinary_ag80,totalProClintonFNbinary_ag80,totalProTrumpFNcount_ag80,totalProClintonFNcount_ag80,totalFakeNewsbinary,totalFakeNewscount,mfb,diet_mean,weight,decile,totalnewsfncount2018def,totalProRepFNbinary,totalProDemFNbinary,totalProRepFNcount,totalProDemFNcount,totalfakebinary18,totalfakecount18
416501525,1,54,54,766,0,0,0,0,0,0,0.009174311926605505,-0.2698611111111111,0.436260804471458,1,13,0,0,0,0,0,0
416504598,1,284,284,8451,0,0,0,0,0,0,0.028162347651165542,-0.05222151639344262,0.516422660144984,3,195,0,0,0,0,0,0
416506930,1,13,13,1235,0,0,0,0,0,0,0.026720647773279354,-0.04759411764705883,1.10931893120803,4,1,0,0,0,0,0,0
416507586,1,49,49,7017,0,0,0,0,0,0,0.003443328550932568,-0.2262875,1.09784487006782,1,34,0,0,0,0,0,0
416511914,1,57,57,3907,0,0,0,0,0,0,0.061428205784489376,0.23073026315789474,0.958660003035646,10,57,0,0,0,0,0,0
416513015,1,11,11,2814,0,0,0,0,0,0,0.1872993221548341,-0.001443749999999998,0.603321598519808,5,3,0,0,0,0,0,0
416515499,1,172,172,22565,0,0,0,0,0,0,0.02206957677819632,-0.061704390243902445,0.522540179336023,3,68,0,0,0,0,0,0
416515655,1,139,139,15169,0,0,0,0,0,0,0.029665765706374844,0.05825493827160494,0.330368839767455,9,107,0,0,0,0,0,0
416518472,1,4,4,58,0,0,0,0,0,0,0,-0.10175000000000001,1.57135925475042,3,4,0,0,0,0,0,0
416518814,1,97,97,26354,0,0,0,0,0,0,0.01935190103969037,-0.04690918032786885,1.43506358679383,4,61,0,0,0,0,0,0
416519667,0,0,0,220,0,0,0,0,0,0,0.014634146341463415,NaN,0.401549368406205,NA,0,0,0,0,0,0,0
416521497,0,0,0,2090,0,0,0,0,0,0,0.027751196172248804,-0.006875000000000003,1.12907320978604,5,0,0,0,0,0,0,0
416522391,1,82,82,24276,0,0,0,0,0,0,0.10722524303839183,-0.20501284916201118,0.396591407118776,2,64,0,0,0,0,0,0
416524570,1,43,43,12537,0,0,0,0,0,0,0.054319215123235225,-0.19076349206349205,0.330368839767455,2,29,0,0,0,0,0,0
416525227,0,0,0,29,0,0,0,0,0,0,0,NaN,0.550198763276749,NA,0,0,0,0,0,0,0
416526552,1,373,373,35046,0,0,0,0,0,0,0.07752667922159448,-0.023438275340393347,1.29880165950788,4,7,0,0,0,0,0,0
416527198,1,35,36,6076,1,0,1,0,1,1,0.009381171823568136,0.15229912280701755,0.494544771514758,10,28,0,0,0,0,0,0
416530468,1,4,4,320,0,0,0,0,0,0,0.0375,0.26023999999999997,1.05761510300131,10,4,0,0,0,0,0,0
416530475,0,0,0,33,0,0,0,0,0,0,0,NaN,0.653059471407918,NA,0,0,0,0,0,0,0
416533269,1,61,61,3410,0,0,0,0,0,0,0.03343108504398827,0.3241867088607595,0.593676470687514,10,61,0,0,0,0,0,0
416533271,1,18,18,2230,0,0,0,0,0,0,0,0.037712499999999996,0.826329945174466,7,7,0,0,0,0,0,0
416533542,1,42,42,153,0,0,0,0,0,0,0.006535947712418301,-0.5966690476190476,0.320832309191851,1,36,0,0,0,0,0,0
416533688,1,48,48,7246,0,0,0,0,0,0,0.03850400220811482,0.027757051282051283,0.260249639235399,6,8,0,0,0,0,0,0
416538665,1,99,99,23808,0,0,0,0,0,0,0.047757056451612906,-0.09545665024630542,0.532059063743996,3,66,0,0,0,0,0,0
416539288,0,0,0,3350,0,0,0,0,0,0,0.03136200716845878,0.0634,0.763512550087712,9,0,0,0,0,0,0,0
416540450,1,8,8,1567,0,0,0,0,0,0,0.001277139208173691,-0.07690526315789474,0.494544771514758,3,5,0,0,0,0,0,0
416541059,1,5,5,548,0,0,0,0,0,0,0.012773722627737226,-0.12211,0.76638287057862,2,1,0,0,0,0,0,0
416542959,1,16,16,467,0,0,0,0,0,0,0,0.06427894736842105,2.14694789071307,9,14,0,0,0,0,0,0
416544236,1,92,92,15256,0,0,0,0,0,0,0.3086654431043524,0.23164861878453039,0.99612033324132,10,47,0,0,0,0,0,0
416545219,0,0,0,4370,0,0,0,0,0,0,0.05423340961098398,0.05598181818181818,0.396591407118776,8,0,0,0,0,0,0,0
416545273,0,0,0,1132,0,0,0,0,0,0,0.07420494699646643,0.043000000000000003,0.260249639235399,8,0,0,0,0,0,0,0
416550817,1,78,78,7827,0,0,0,0,0,0,0.004727226268046506,-0.14715323383084578,1.56432433892439,2,18,0,0,0,0,0,0
416551138,1,25,25,4745,0,0,0,0,0,0,0.030136986301369864,0.14667981651376147,0.538710564995203,10,13,0,0,0,0,0,0
416552145,0,0,0,108,0,0,0,0,0,0,0,NaN,0.349070504274795,NA,0,0,0,0,0,0,0
416552659,1,15,15,3080,0,0,0,0,0,0,0,0.0133,0.99612033324132,5,6,0,0,0,0,0,0
416556242,0,0,0,568,0,0,0,0,0,0,0.01056338028169014,-0.2177,1.12135817746064,1,0,0,0,0,0,0,0
416561533,1,202,202,3146,0,0,0,0,0,0,0.2730451366815003,-0.06705587044534414,0.510046349388695,3,0,0,0,0,0,0,0
416561833,1,32,32,29852,0,0,0,0,0,0,0.032962615570146056,0.023766666666666665,0.77333085099993,6,21,0,0,0,0,0,0
416567751,0,0,0,48,0,0,0,0,0,0,0,NaN,0.653059471407918,NA,0,0,0,0,0,0,0
416567838,0,0,0,2767,0,0,0,0,0,0,0.23129743404409106,NaN,0.75579151447224,NA,0,0,0,0,0,0,0
416568332,1,16,16,16208,0,0,0,0,0,0,0.010920533070088844,0.11313214285714285,0.522540179336023,9,5,0,0,0,0,0,0
416580521,0,0,0,61,0,0,0,0,0,0,0,0.0634,4.01941120428189,9,0,0,0,0,0,0,0
416581594,1,21,21,4633,0,0,0,0,0,0,0.09777681847614936,0.10790243902439024,0.773057551814558,9,21,0,0,0,0,0,0
416609696,1,1,1,62,0,0,0,0,0,0,0.18181818181818182,-0.06603333333333333,0.597815988508581,3,1,0,0,0,0,0,0
416622040,1,26,26,444,0,0,0,0,0,0,0.04279279279279279,0.31912121212121214,0.494544771514758,10,8,0,0,0,0,0,0
416635289,1,297,297,9073,0,0,0,0,0,0,0.025349939380579743,-0.40866227180527387,0.686424368296575,1,200,0,0,0,0,0,0
