totalfakebinary18_presurvey,pol_therm_media,pol_therm_media_w2,massmedia_trust,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight
0,63,49,3,3,30,63,1,2,1,8,2,1,1,0.918267287
NA,78,67,4,3,3,8,1,4,5,34,3,0,0,0.813321963
0,59,50,2,1,19,20,1,4,3,42,3,1,1,0.864438646
0,45,74,3,3,42,22,1,2,2,2,3,1,0,0.947004739
0,34,49,3,3,NA,18,0,4,1,95,3,0,0,0.918460714
NA,64,75,3,3,61,60,1,2,4,2,2,1,1,0.979991772
1,22,26,2,2,45,56,0,7,3,92,4,0,0,0.878375502
0,41,69,2,3,33,48,0,4,1,71,4,0,0,0.794477911
0,9,20,2,2,76,98,0,6,3,59,2,1,1,1.268496707
NA,23,24,2,1,0,0,NA,4,4,60,4,0,0,1.014906931
0,87,61,3,3,97,85,1,4,2,1,4,1,1,0.73605
0,38,35,2,2,53,12,0,3,3,100,4,0,0,0.891227375
0,11,7,2,2,1,-1,0,4,5,70,3,0,0,0.918460714
NA,1,96,3,3,90,86,1,1,4,0,4,0,0,0.76871563
0,49,41,2,2,39,67,0,6,2,70,4,0,0,0.844407653
0,30,22,2,2,8,-11,0,6,1,31,2,0,0,0.925217391
0,11,10,1,1,80,79,0,7,5,83,4,0,0,0.998749814
0,9,NA,1,NA,91,NA,0,7,1,100,2,0,0,0.889660199
1,0,51,3,3,95,90,0,7,3,100,4,0,0,1.063456102
0,94,91,4,4,92,93,1,2,5,2,4,1,1,0.888443311
0,21,29,3,2,38,53,0,4,2,83,3,0,0,0.918460714
0,2,3,2,2,63,44,0,7,3,100,4,0,0,1.083893238
0,50,71,3,2,0,-1,1,4,2,11,3,0,0,0.874061937
0,50,61,3,3,11,41,1,4,2,49,4,1,0,0.947004739
NA,3,3,1,2,0,0,NA,6,5,70,4,0,0,0.50092213
0,0,25,2,3,59,44,1,4,2,0,3,1,0,0.839695575
0,1,1,1,1,64,83,0,6,4,95,3,0,0,0.998749814
0,56,83,3,3,0,0,NA,4,5,3,3,0,1,1.028196687
0,40,18,2,2,30,2,1,2,4,31,3,0,0,0.803796446
0,70,63,3,3,0,0,NA,6,2,50,2,1,0,0.617147841
0,64,NA,3,NA,89,NA,1,6,2,7,3,1,1,0.884942082
0,31,52,2,2,0,0,NA,4,3,61,4,0,0,0.852636109
0,50,79,3,3,33,32,0,6,2,98,3,0,0,0.937815785
0,51,52,3,3,44,67,0,4,1,65,2,0,1,0.949754418
0,20,30,2,2,17,-1,1,5,4,51,4,0,1,0.441069578
0,50,69,3,3,65,58,1,2,3,0,3,0,0,0.756263673
0,84,75,4,4,80,73,1,2,5,0,2,0,1,0.940417963
NA,44,51,3,3,54,30,1,2,4,0,4,0,0,0.888201936
NA,2,1,1,1,71,74,0,7,5,96,3,0,0,0.907469147
NA,0,3,2,2,0,19,0,4,3,91,3,0,1,1.11015313
0,62,71,3,3,-5,29,0,5,4,0,3,0,0,0.794177109
0,61,NA,3,NA,33,NA,0,4,2,50,3,0,0,0.5448655
0,95,96,3,4,0,0,NA,5,2,15,4,0,1,0.92329157
0,30,18,3,2,78,85,0,6,2,94,4,0,1,1.057211478
0,19,36,2,3,41,32,0,7,5,62,4,0,1,0.808827312
0,68,66,3,3,98,90,1,2,5,1,3,1,1,0.878318066
0,80,70,3,2,30,10,1,2,5,20,4,0,1,0.812056345
1,40,40,3,3,55,70,0,6,5,75,4,0,1,0.927898916
NA,97,71,4,3,44,60,1,3,5,1,4,0,1,0.889877439
0,86,81,3,4,85,89,1,1,5,0,4,0,0,0.738988461
NA,99,91,4,4,0,0,NA,6,2,7,4,1,1,0.884942082
0,97,91,4,4,35,37,1,3,5,22,4,0,0,0.738988461
0,75,76,4,4,62,65,1,3,3,3,4,0,1,0.914362713
