totalfakebinary18_pre,pol_therm_media,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary,vote_combined,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,30,21,1,3,1,0,1,1,4,1.399999976,1,0,0,NA,4,3,41,4,0,0,0.38261172,0
0,5,3,1,4,1,1,0,1,4,1.399999976,1,0,0,NA,6,5,93,2,0,1,0.958043351,0
0,51,33,2,3,3,0,1,1,4,2,2,0,0,NA,4,5,59,3,0,1,0.330593383,0
1,5,10,2,3,1,0,1,1,4,1,2,0,0,NA,2,5,40,4,0,1,0.232408082,0
1,41,69,3,1,2,0,0,1,4,4.199999809,3,0,0,NA,1,5,0,4,0,0,0.25569664,1
0,50,50,2,3,3,0,1,1,4,1,3,0,0,NA,2,2,0,3,0,0,0.424773446,0
0,5,8,1,4,1,1,0,1,4,1.399999976,1,0,0,NA,7,5,97,4,0,1,0.368062392,0
0,3,43,2,2,3,0,1,1,4,2.599999905,2,0,0,NA,4,3,2,2,0,1,0.634052942,0
0,3,50,1,4,1,1,0,1,4,1.399999976,1,0,0,NA,4,1,100,4,0,0,0.795426328,0
0,45,50,2,1,1,1,0,0,1,1,3,0,0,NA,4,3,45,2,0,1,0.349059723,0
1,41,30,2,1,3,0,0,1,4,2,2,0,0,NA,5,5,100,4,0,0,0.386353331,1
0,20,3,2,2,1,1,0,1,4,1.799999952,3,0,0,NA,4,1,0,2,0,1,0.604435249,0
NA,24,50,2,3,4,0,1,0,1,1.399999976,2,0,0,NA,4,1,49,2,0,1,0.557950267,0
NA,53,NA,2,2,2,0,1,0,1,3,2,0,NA,NA,4,1,1,1,0,0,1.969437601,0
0,7,11,2,3,1,0,1,1,4,2.599999905,2,0,0,NA,5,4,96,3,0,1,0.667086778,0
0,3,42,3,2,1,0,1,1,3,3.599999905,3,0,0,NA,5,1,35,2,0,0,0.574654459,0
NA,46,50,3,2,2,0,0,1,4,2,3,0,0,NA,2,2,1,2,0,0,0.344068026,1
NA,50,40,2,3,2,1,0,0,2,1,2,0,0,NA,4,2,0,3,0,0,0.340490853,0
0,56,70,3,1,2,0,0,1,4,1,3,0,0,NA,2,2,1,4,0,1,0.454858391,1
NA,50,NA,3,3,3,0,0,0,0,NA,NA,0,NA,NA,4,5,50,2,0,0,2.203897335,0
