totalfakebinary18_pre,pol_therm_media,misinform_soros_w2,misinform_jamal_w2,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary_w2,vote_combined_w2,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,0,NA,NA,NA,2,3,2,0,0,0,0,3,NA,0,NA,NA,4,5,50,2,1,0,0.899284036,0
0,19,2,2,31,2,4,1,1,0,0,1,1,2,0,0,NA,4,2,50,3,0,0,0.668747814,0
NA,1,3,2,19,2,2,1,0,0,1,5,3.400000095,1,0,0,NA,6,4,100,4,0,1,0.433007053,1
0,65,2,1,52,2,3,1,0,1,1,4,3.599999905,3,0,0,NA,4,5,21,2,0,1,0.673352927,0
NA,40,3,1,20,2,4,2,0,1,1,4,3.200000048,2,0,0,NA,5,5,94,4,0,0,0.494744459,0
NA,5,3,1,2,1,4,1,1,0,1,4,3.400000095,1,0,0,NA,4,5,20,3,0,1,0.356848995,0
NA,51,NA,NA,NA,3,3,2,0,0,0,0,3,NA,0,NA,NA,4,5,50,3,1,0,1.622453338,0
0,88,3,2,80,1,3,3,0,0,0,1,4,1,0,0,NA,4,1,82,2,0,0,0.623978161,1
NA,36,2,2,65,3,3,3,1,0,1,5,1.799999952,3,0,0,NA,4,5,96,4,0,0,0.494744459,0
NA,4,2,1,1,1,2,1,0,1,1,5,4,2,0,0,NA,6,5,97,4,0,1,0.524474405,0
0,60,2,3,50,3,2,3,1,0,1,4,2.599999905,3,0,0,NA,4,4,0,2,0,0,1.573946148,0
0,30,2,1,75,3,3,3,0,0,1,4,1.799999952,3,0,0,NA,4,3,0,3,0,0,0.326449103,1
0,40,1,1,50,2,4,4,0,1,1,4,1,3,0,0,NA,6,4,50,3,0,0,0.753956286,0
NA,50,2,2,40,3,2,2,0,0,0,3,2.799999952,3,0,0,NA,4,1,1,1,1,0,1.482964952,1
0,69,1,1,74,3,2,2,1,0,0,1,1.799999952,3,0,0,NA,5,3,9,2,1,0,1.188817685,0
1,41,3,1,13,2,3,3,1,0,1,4,2.599999905,2,0,0,NA,4,4,43,2,0,1,0.360601359,0
0,52,2,2,51,2,3,2,1,0,0,1,2,3,0,0,NA,4,1,3,1,0,0,1.304363116,0
0,71,1,2,50,3,2,3,1,0,1,4,1.200000048,3,0,0,NA,4,5,5,3,0,0,0.488629064,0
0,24,NA,NA,NA,3,2,3,0,0,0,0,1,NA,0,NA,NA,4,2,2,2,1,0,0.54458156,0
0,31,3,3,16,2,2,2,0,0,0,2,1.799999952,2,0,0,NA,4,1,86,3,0,0,1.104299032,1
0,38,NA,NA,NA,2,2,3,0,0,0,0,3.799999952,NA,0,NA,NA,4,0,NA,1,0,0,4.567231343,0
NA,77,2,1,72,3,3,3,0,0,1,4,2.599999905,3,0,0,NA,3,3,42,2,1,1,0.909539181,1
NA,32,3,2,21,2,2,3,0,1,1,5,1.200000048,2,0,0,NA,4,5,31,3,1,1,0.683601268,0
0,0,1,1,0,1,4,4,0,1,0,1,1,1,0,0,NA,4,1,0,2,1,1,0.648187656,0
0,50,2,2,50,2,2,2,0,1,0,2,1,2,0,0,NA,4,2,0,1,1,0,5.320324988,0
1,6,3,1,9,2,3,1,1,0,1,4,4.400000095,2,0,0,NA,7,5,83,4,0,0,0.494744459,0
0,5,3,1,10,2,4,1,0,1,1,4,3.799999952,2,0,0,NA,7,5,90,4,0,0,1.348190671,0
0,54,3,1,NA,2,1,3,0,1,1,5,1,3,0,NA,NA,4,1,50,4,1,0,0.636614281,0
